Tag	Treat_1	Treat_2	Treat_3	Model_1	Model_2	Model_3
TMEM177	721.585753	849.500793	772.9784071	535.9532477	527.8119474	548.3011008
IL11	83.56238284	56.36498152	101.8487499	159.7462061	206.751196	161.2082462
PRADC1	574.1227245	515.3369739	561.7762626	324.2186313	377.7185311	380.3356227
C7orf50	1781.353385	1981.833011	2040.191274	1311.998427	1512.862117	1366.891477
RNF40	2461.64949	2921.920382	2787.439471	1937.749837	2106.277809	1930.637679
RSRP1	527.9176422	553.58464	551.0553415	827.0883453	724.6231821	806.0412309
ALKBH7	551.5117267	707.5818216	650.7599072	410.2358192	420.4603649	420.879014
VSNL1	1591.617621	1386.981153	1432.315051	1962.326177	2077.451921	1951.874693
IRS1	3143.911769	2568.632729	2326.439866	4108.029655	3751.341412	3693.30988
MXD1	278.2135805	248.6098292	246.581184	399.8381372	414.4963881	400.6073184
AP1M2	290.9937097	362.3463098	396.6740785	198.5012029	194.8232424	222.0233331
ENSG00000251095	453.2030411	384.4896954	448.1344995	607.7917783	638.1455184	676.6885064
ASAP2	771.7231827	635.1125597	560.7041705	1019.918085	983.0621771	955.665651
LMAN1	3611.861112	3140.334685	2541.930379	4742.288261	4324.877181	4461.703676
EEF1A2	650.8034993	553.58464	655.0482756	878.1315117	904.5364824	890.02397
CORO1B	2197.199125	2367.329224	2389.6933	1708.055588	1837.898853	1606.290549
GADD45GIP1	1003.731681	1543.997887	1347.619775	815.7454194	880.6805752	776.1163469
CCND1	5954.557093	5673.739301	5559.869652	7152.66001	7491.748866	7344.14573
MT-ND3	18093.7136	16757.51031	23634.27044	12417.6681	14433.81787	13087.79282
C19orf25	823.8267861	914.9244322	865.178328	632.3681177	593.4156923	612.0121442
PRR11	1755.793127	1381.948565	1592.056775	2196.746645	2215.617384	2178.724621
TTC38	3116.385337	3462.420294	3488.587707	2482.21028	2659.933656	2404.609229
AGO2	2049.736097	1747.314427	1588.840498	2470.867354	2478.032363	2606.360866
NEU1	2463.615664	2477.039634	2336.088695	1812.032409	1928.352501	1742.400505
TOP1	2858.81658	2720.616876	2407.918866	3628.791037	3519.740312	3548.512054
EIF2S3	4697.189002	4153.897835	4122.19414	5857.675972	5642.916056	5572.78566
ARHGAP29	636.0571964	629.0734545	498.5228284	890.4196814	861.7946487	855.2724917
CFAP97	1449.070027	1156.488639	1089.245578	1853.623137	1836.904857	1683.516056
TRIM28	8271.692814	9295.189364	9183.540964	6834.112841	7068.306513	6672.283818
ADAM9	2781.152718	2618.958606	2114.165629	3558.842994	3402.448769	3616.084373
ITGB1	7463.595418	7125.137575	6210.629559	9549.798345	9032.442875	9128.054946
RPS5	13657.04262	18527.97464	17541.57101	11023.43347	12621.76292	11032.62902
ACOT1	234.9577588	240.557689	205.841684	106.812552	124.2495168	141.9018694
TRMT112	2717.252073	3060.8198	3415.685444	2076.700679	2370.680781	2126.597403
HLF	5385.349802	4305.881981	3709.43868	7035.449776	6358.593273	6278.433732
AOX1	655.7189336	684.4319185	616.4529599	985.8893075	905.5304786	880.3707816
PRPF38B	733.3827953	704.5622691	652.9040914	1004.794184	965.1702467	954.7003322
FMNL2	1405.814205	1396.03981	982.0363674	1900.885328	1905.49059	1867.891954
CALR	25161.12502	25804.08985	28379.35009	20014.59271	21165.15969	20419.38941
NR1D1	651.7865862	526.4086667	613.2366836	897.0363882	864.7766371	836.9314338
DGCR6L	625.243241	702.549234	859.8178675	453.7170351	505.9440325	453.6998545
UGP2	2127.399958	2068.393518	2194.572537	2958.613166	2767.285239	2679.725098
C20orf27	1734.165216	1894.265986	1736.789209	1394.234639	1299.152948	1296.423201
ZBTB10	484.6618205	349.2615819	295.8974207	638.9848244	610.3136266	632.2838398
ARRB1	1211.163008	1270.225119	1376.566262	883.8029746	973.1222157	935.3939554
SLC25A1	4292.157217	4644.071871	4152.212719	3238.405338	3518.746316	3148.870054
YIPF4	1589.651448	1654.714815	1517.010327	2110.729457	2065.523968	2105.360389
GTPBP6	1009.630202	1039.732606	1162.147841	742.961645	793.2089154	757.775289
JMY	499.4081233	343.2224768	339.853197	678.685065	602.3616575	646.7636224
BNIP3L	993.9008124	901.8397044	904.8457359	1394.234639	1272.315052	1219.197694
C20orf204	1166.924099	1296.394575	1250.059393	845.9932217	906.5244747	940.2205496
UBR5	1458.900896	1298.40761	1020.631683	1996.354954	1826.964895	1777.151983
MKI67	6294.705145	5441.233752	3963.524509	8688.681222	7329.727496	8029.522106
SEC24A	893.625953	905.8657745	703.2924203	1337.52001	1164.96347	1171.897071
REEP6	3910.719517	3491.609302	3806.999062	2660.861362	3042.622168	2648.834895
TFPI	12924.64291	11277.02237	11670.79465	16795.09225	15087.86733	15250.10703
FAM72B	267.3996251	208.3491281	228.3556182	453.7170351	411.5143997	326.2777677
ITGAV	1926.85024	1671.825613	1301.519814	2432.112357	2337.878908	2481.834736
NCAPH2	1430.391377	1539.971817	1544.884722	1109.716248	1158.999493	1094.671564
NRP2	969.3236409	918.9505023	876.9713412	1270.407698	1265.357079	1220.163013
NEK2	1045.021329	902.8462219	928.4317622	1403.687077	1389.606596	1226.920245
FBXW5	2257.167424	2462.948389	2277.123629	1725.069977	1868.712733	1569.608433
EPHA2	7791.946428	7263.030476	7729.784071	9667.008579	10120.86864	9316.292119
INTS5	404.0486982	445.8872646	465.2879732	276.9564402	286.2708868	295.3875649
NT5DC2	3607.928765	3708.01057	4628.221614	2895.28183	2755.357285	2940.361185
KPNA4	1072.547761	1035.706536	867.3225123	1342.246229	1386.624608	1444.116984
TUFM	9788.595835	10472.81487	10790.60703	7825.673612	8499.660947	7735.09986
GHDC	872.981129	943.106923	865.178328	642.7657997	663.9894179	612.0121442
TCP11L2	306.7230994	285.8509777	278.7439471	409.2905754	498.9860595	443.0813473
WDR18	1882.611331	2141.869298	2045.551735	1440.551586	1620.213699	1350.481056
KIF23	640.9726307	567.6758854	458.8554206	902.7078511	819.0528149	805.0759121
LRP3	1717.452739	1735.236217	1831.133314	1261.900504	1398.552561	1292.561926
DBI	1229.841658	1454.417827	1373.349985	1020.863329	955.2302853	963.3882017
EPAS1	3582.368507	3281.247139	3226.997233	4471.003283	4298.039286	4292.772879
PLK3	804.165049	754.8881454	814.7899991	1129.566369	1040.713953	1085.018376
CBL	1126.617538	933.0417477	806.2132623	1411.249028	1314.06289	1503.001433
TMEM98	1696.807915	1904.331161	2178.491156	1340.355741	1402.528546	1398.746998
ALG1	813.9959176	954.1786158	1045.289802	596.4488524	647.0914836	678.6191441
PPP1R2	1232.790919	1145.416946	1079.596749	1533.185481	1562.561924	1557.059288
IFITM3	5848.383712	6689.315486	5864.34381	4559.856203	4929.226831	4458.807719
DCBLD2	1743.012997	1455.424344	1296.159354	2143.812991	2028.746111	2218.302693
SERINC1	2541.279525	2201.253832	1900.819301	3212.883755	3109.219909	2981.869895
